id,fecha,producto,cantidad,precio
1,2024-01-05,Notebook,2,85000
2,2024-01-12,Mouse,5,4500
3,2024-01-20,Teclado,3,18000
4,2024-02-03,Notebook,1,85000
5,2024-02-14,Monitor,2,75000
6,2024-02-22,Mouse,4,4500
7,2024-03-01,Teclado,6,18000
8,2024-03-15,Notebook,3,85000
9,2024-03-28,Monitor,1,75000
10,2024-04-10,Mouse,7,4500
11,2024-04-18,Notebook,2,85000
12,2024-05-05,Teclado,4,18000
13,2024-05-20,Monitor,3,75000
14,2024-06-08,Notebook,4,85000
15,2024-06-25,Mouse,6,4500
16,2024-07-14,Teclado,5,18000
17,2024-08-09,Monitor,2,75000
18,2024-09-17,Notebook,3,85000
19,2024-10-22,Mouse,8,4500
20,2024-11-30,Notebook,5,85000
